DATA SLA SEISMOMETER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Merk,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
19,WWPI (Waropen),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,61.8%
20,SRPI (Station Serui),100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
21,"ERPI (Enarotali, East Paniai)",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%
22,"YBYPI (YapenBarat, KepulauanYapen)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
23,BAKI (Station Biak),100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,99%,96%,100%,100%,100%,100%,86%,97%,68%,100%,100%,100%,100%,100%,90%,100%,96%,100%,100%,100%,97.8%
m,"EDMPI (Edera, Mappi)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
25,"ELMPI (Eligobel, Merauke)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
26,"UWNPI (Uwapa, Nabire)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
27,NBPI (Station Nabire),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%
28,"SUSPI (SupioriTimur, Supiori)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
29,"WANPI (Wanggar, Nabire)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
30,"FKMPM (Kurik, Merauke)",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%
31,"KIMPI (Kimaam, Merauke)",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%
32,"SOMPI (Sota, Merauke)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
33,MMPI (Station Merauke),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
34,"IWPI (Rasiei, Teluk Wondama)",100%,100%,100%,100%,100%,83%,80%,59%,55%,34%,33%,27%,25%,37%,31%,32%,32%,0%,0%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,34.4%
35,RKPI (Station Ransiki),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
36,MWPI (Station Manokwari),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
37,"ANAPI (Anggi, PegununganArfak)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,30%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97.7%
38,"MBPI (Manimeri, Teluk Bintuni)",97%,96%,100%,98%,98%,98%,98%,98%,96%,98%,95%,100%,100%,98%,90%,98%,97%,99%,96%,98%,97%,96%,94%,98%,95%,97%,98%,90%,97%,98%,97%,96.9%
39,KMPI (Station Kaimana),99%,66%,55%,46%,59%,100%,99%,100%,99%,98%,97%,99%,98%,99%,99%,97%,97%,98%,98%,84%,76%,76%,82%,78%,67%,65%,63%,59%,58%,59%,58%,81.5%
40,"BATPI (Babo, TelukBintuni)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
41,"SWPM (Sidey, Manokwari)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
42,"AMPM (Aifat, Maybrat)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,11%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,93.9%
43,FAKI (Station Fakfak),100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
44,"FKSPI (Sawiat, SorongSelatan)",96%,96%,96%,95%,96%,96%,96%,96%,96%,95%,96%,96%,97%,96%,96%,95%,95%,95%,95%,95%,96%,95%,95%,95%,95%,96%,95%,96%,96%,95%,96%,95.6%
45,"TSPI (Terminabuan, Sorong Selatan)",100%,99%,100%,100%,100%,100%,100%,95%,95%,99%,97%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,98%,98%,98%,98%,97%,98%,98%,97%,97%,98.5%
46,SIJI (Station Sorong - CTBTO),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%
47,SWI (Station Sorong),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
48,"KARPI (Kabare, RajaAmpat)",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,91%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,38.4%
49,RAPI (Raja Ampat),100%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,64.9%
50,"MBRPI (MisoolBarat, RajaAmpat)",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
